31120,68001,Abie,NE,0.0012423033548425646
31121,68002,Arlington,NE,0.015621673752763342
31122,68003,Ashland,NE,0.038067424377128525
31123,68004,Bancroft,NE,0.004467575790165502
31124,68005,Bellevue,NE,0.14797426981537914
31125,68007,Bennington,NE,0.032976484782219054
31126,68008,Blair,NE,0.09721088811614986
31128,68010,Boys Town,NE,0.0
31129,68014,Bruno,NE,0.00247392048754257
31130,68015,Cedar Bluffs,NE,0.013608292190954172
31131,68016,Cedar Creek,NE,0.002511202724502599
31132,68017,Ceresco,NE,0.013513912818904225
31133,68018,Colon,NE,0.002465951977654301
31134,68019,Craig,NE,0.004534553145725041
31135,68020,Decatur,NE,0.0020001493696600345
31136,68022,Elkhorn,NE,0.04423577896277713
31137,68023,Fort Calhoun,NE,0.008695014429109166
31138,68025,Fremont,NE,0.20561030546692952
31140,68028,Gretna,NE,0.054418608890482195
31141,68029,Herman,NE,0.006680792555416146
31142,68030,Homer,NE,0.005975760924896935
31143,68031,Hooper,NE,0.01035161821712374
31145,68033,Ithaca,NE,0.003414176232299696
31146,68034,Kennard,NE,0.0035849544571906564
31148,68036,Linwood,NE,0.0007713771404672282
31149,68037,Louisville,NE,0.015261587889107966
31150,68038,Lyons,NE,0.01245866941506841
31151,68039,Macy,NE,0.0026007388659855407
31152,68040,Malmo,NE,0.0043887902132998735
31153,68041,Mead,NE,0.010299465077373485
31154,68042,Memphis,NE,0.00012439691999761003
31155,68044,Nickerson,NE,0.0043855493816096075
31156,68045,Oakland,NE,0.014081419489753243
31157,68046,Papillion,NE,0.1337683987871184
31158,68047,Pender,NE,0.012445748987273707
31159,68048,Plattsmouth,NE,0.10102110623170225
31160,68050,Prague,NE,0.0038585368972934206
31162,68055,Rosalie,NE,0.0020365860548485397
31164,68057,Scribner,NE,0.011285520702634881
31165,68058,South Bend,NE,0.0038057783652984418
31166,68059,Springfield,NE,0.026491128338411905
31167,68061,Tekamah,NE,0.014680241978849257
31168,68062,Thurston,NE,0.0018811221126844716
31169,68063,Uehling,NE,0.001756228714823445
31170,68064,Valley,NE,0.023196820648861805
31171,68065,Valparaiso,NE,0.016268585409571604
31172,68066,Wahoo,NE,0.03737002897771404
31173,68067,Walthill,NE,0.004345805771643664
31174,68068,Washington,NE,0.00037301711776304005
31175,68069,Waterloo,NE,0.018327619122303882
31176,68070,Weston,NE,0.004329681597657885
31177,68071,Winnebago,NE,0.0064072415845133545
31178,68072,Winslow,NE,0.0001725142618151401
31179,68073,Yutan,NE,0.017020369537551528
31181,68102,Omaha,NE,0.02668350476787954
31183,68104,Omaha,NE,0.2078871249775945
31184,68105,Omaha,NE,0.1155239906255601
31185,68106,Omaha,NE,0.13157249260620182
31186,68107,Omaha,NE,0.15110047157794107
31187,68108,Omaha,NE,0.07769512052339127
31189,68110,Omaha,NE,0.020685520774332312
31190,68111,Omaha,NE,0.07942491681902371
31191,68112,Omaha,NE,0.06745196047081316
31192,68113,Offutt A F B,NE,0.0005862554161438728
31193,68114,Omaha,NE,0.090904001147159
31194,68116,Omaha,NE,0.12657321181215272
31195,68117,Omaha,NE,0.05985063592041585
31196,68118,Omaha,NE,-0.004496451640078847
31199,68122,Omaha,NE,0.0661026397741531
31200,68123,Bellevue,NE,0.1615507583198901
31201,68124,Omaha,NE,0.09115817420385974
31202,68127,Omaha,NE,0.1499478801756587
31203,68128,La Vista,NE,0.13785394046125354
31204,68130,Omaha,NE,0.025910880468423315
31205,68131,Omaha,NE,0.043383817948258345
31206,68132,Omaha,NE,0.09635081794228355
31207,68133,Papillion,NE,0.03898779688713633
31208,68134,Omaha,NE,0.20442971858756048
31209,68135,Omaha,NE,0.09257648378442973
31210,68136,Omaha,NE,0.04594870809882299
31211,68137,Omaha,NE,0.16772637787536598
31212,68138,Omaha,NE,0.08669277363924241
31214,68142,Omaha,NE,0.018887309553683458
31215,68144,Omaha,NE,0.14734027446675035
31217,68147,Bellevue,NE,0.08114867518671205
31218,68152,Omaha,NE,0.054981452431738076
31219,68154,Omaha,NE,0.1139086734301249
31221,68157,Omaha,NE,0.03057751882057717
31222,68164,Omaha,NE,0.18104258563362613
31226,68178,Omaha,NE,0.0
31236,68301,Adams,NE,0.010382657734360997
31237,68303,Alexandria,NE,0.0026673238931708195
31238,68304,Alvo,NE,0.003465129652864911
31239,68305,Auburn,NE,0.026628784107068176
31240,68307,Avoca,NE,0.0024840771195554757
31241,68309,Barneston,NE,0.0006217762322996951
31242,68310,Beatrice,NE,0.10429505230328015
31243,68313,Beaver Crossing,NE,0.0034501435069008786
31244,68314,Bee,NE,0.005504561375993308
31245,68315,Belvidere,NE,0.0005889227460118302
31246,68316,Benedict,NE,0.0038026823445061852
31247,68317,Bennet,NE,0.007363411304295873
31248,68318,Blue Springs,NE,0.0039048040150564617
31249,68319,Bradshaw,NE,0.0044672619047619044
31250,68320,Brock,NE,0.001571428571428572
31251,68321,Brownville,NE,0.0023755750731911333
31252,68322,Bruning,NE,0.002163141542689849
31253,68323,Burchard,NE,0.0024394186532831446
31254,68324,Burr,NE,0.00047680554460178046
31255,68325,Byron,NE,0.002178048634761308
31256,68326,Carleton,NE,0.0
31257,68327,Chester,NE,0.0026131325805102464
31258,68328,Clatonia,NE,0.0023987273704965052
31259,68329,Cook,NE,0.0018758558881519988
31261,68331,Cortland,NE,0.008712918981896398
31262,68332,Crab Orchard,NE,0.0
31263,68333,Crete,NE,0.03754428507946466
31264,68335,Davenport,NE,0.0025980163709147393
31265,68336,Davey,NE,0.0029428685322937216
31266,68337,Dawson,NE,0.0024056642409033876
31267,68338,Daykin,NE,0.0009302921670550279
31268,68339,Denton,NE,0.006200020911752407
31269,68340,Deshler,NE,0.006713405054669296
31270,68341,De Witt,NE,0.006197835573878235
31271,68342,Diller,NE,0.0024443218736930157
31272,68343,Dorchester,NE,0.007678034916651731
31273,68344,Douglas,NE,0.00233282327776782
31274,68345,Du Bois,NE,0.001927423170221665
31275,68346,Dunbar,NE,0.004578496743741411
